# x y
# Function f(x) = exp( 40/(10 + x)) * sin(x)
# Refering points: 
 -3.44500008 3.34718498
 -3.37375008 2.55102575
 -3.30250008 1.75825741
 -3.23125008 0.97267058
 -3.16000009 0.19794613
 -3.08875009 -0.56235931
 -3.01750009 -1.30482705
 -2.94625009 -2.02618913
 -2.87500009 -2.72334034
 -2.80375009 -3.39334923
 -2.73250009 -4.03346822
 -2.66125009 -4.64114273
 -2.59000009 -5.21401929
 -2.51875009 -5.74995266
 -2.44750009 -6.24701189
 -2.37625010 -6.70348535
 -2.30500010 -7.11788471
 -2.23375010 -7.48894787
 -2.16250010 -7.81564080
 -2.09125010 -8.09715844
 -2.02000010 -8.33292442
 -1.94875010 -8.52258993
 -1.87750010 -8.66603144
 -1.80625010 -8.76334758
 -1.73500010 -8.81485498
 -1.66375010 -8.82108326
 -1.59250011 -8.78276908
 -1.52125011 -8.70084943
 -1.45000011 -8.57645404
 -1.37875011 -8.41089710
 -1.30750011 -8.20566823
 -1.23625011 -7.96242279
 -1.16500011 -7.68297163
 -1.09375011 -7.36927023
 -1.02250011 -7.02340735
 -0.95125011 -6.64759329
 -0.88000011 -6.24414768
 -0.80875012 -5.81548703
 -0.73750012 -5.36411196
 -0.66625012 -4.89259425
 -0.59500012 -4.40356372
 -0.52375012 -3.89969503
 -0.45250012 -3.38369453
 -0.38125012 -2.85828700
 -0.31000012 -2.32620263
 -0.23875012 -1.79016406
 -0.16750012 -1.25287366
 -0.09625012 -0.71700105
 -0.02500013 -0.18517101
 0.04624987 0.34004837
 0.11749987 0.85615700
 0.18874987 1.36073374
 0.25999987 1.85144675
 0.33124987 2.32606335
 0.40249987 2.78245932
 0.47374987 3.21862750
 0.54499987 3.63268580
 0.61624987 4.02288452
 0.68749987 4.38761294
 0.75874986 4.72540517
 0.82999986 5.03494532
 0.90124986 5.31507184
 0.97249986 5.56478112
 1.04374986 5.78323027
 1.11499986 5.96973919
 1.18624986 6.12379173
 1.25749986 6.24503624
 1.32874986 6.33328516
 1.39999986 6.38851395
 1.47124986 6.41085929
 1.54249986 6.40061643
 1.61374985 6.35823592
 1.68499985 6.28431962
 1.75624985 6.17961605
 1.82749985 6.04501504
 1.89874985 5.88154186
 1.96999985 5.69035074
 2.04124985 5.47271782
 2.11249985 5.23003363
 2.18374985 4.96379514
 2.25499985 4.67559732
 2.32624985 4.36712439
 2.39749984 4.04014070
 2.46874984 3.69648135
 2.53999984 3.33804258
 2.61124984 2.96677192
 2.68249984 2.58465828
 2.75374984 2.19372186
 2.82499984 1.79600406
 2.89624984 1.39355743
 2.96749984 0.98843557
 3.03874984 0.58268322
 3.10999984 0.17832646
 3.18124983 -0.22263694
 3.25249983 -0.61824688
 3.32374983 -1.00659002
 3.39499983 -1.38580863
 3.46624983 -1.75410901
 3.53749983 -2.10976952
 3.60874983 -2.45114827
 3.67999983 -2.77669027
 3.75124983 -3.08493410
 3.82249983 -3.37451814
 3.89374983 -3.64418618
 3.96499982 -3.89279250
 4.03624982 -4.11930640
 4.10749982 -4.32281610
 4.17874982 -4.50253204
 4.24999982 -4.65778955

